Name,City,IATA Code,Destination Count,Latitude,Longitude
Il Caravaggio International Airport,Bergamo,BGY,81,45.673901,9.70417
Bologna Guglielmo Marconi Airport,Bologna,BLQ,88,44.5354,11.2887
Brussels Airport,Brussels,BRU,316,50.9014015198,4.48443984985
Cologne Bonn Airport,Cologne,CGN,134,50.865898132299996,7.1427397728
Mohammed V International Airport,Casablanca,CMN,125,33.36750030517578,-7.589970111846924
Cuneo International Airport,Cuneo,CUF,5,44.547001,7.62322
Saïss Airport,Fes,FEZ,18,33.927299499499995,-4.977960109709999
Lyon Saint-Exupéry Airport,Lyon,LYS,135,45.725556,5.081111
Montpellier-Méditerranée Airport,Montpellier,MPL,24,43.57619857788086,3.96301007270813
Nador International Airport,El Aroui,NDR,18,34.988800048799995,-3.0282099247000005
Palma De Mallorca Airport,Palma de Mallorca,PMI,271,39.551700591999996,2.73881006241
Sabiha Gökçen International Airport,Istanbul,SAW,145,40.898601532,29.3092002869
Toulouse-Blagnac Airport,Toulouse,TLS,78,43.629101,1.36382
Ibn Batouta Airport,Tanger,TNG,19,35.726898193400004,-5.916890144349999
Treviso-Sant'Angelo Airport,Treviso,TSF,38,45.648399,12.1944
Queen Beatrix International Airport,Oranjestad,AUA,44,12.5014,-70.015198
Flamingo International Airport,Kralendijk,BON,10,12.130999565124512,-68.26850128173828
Hato International Airport,Willemstad,CUR,31,12.1889,-68.959801
Josefa Camejo International Airport,Paraguana,LSP,4,11.78077507019043,-70.15149688720703
La Chinita International Airport,Maracaibo,MAR,14,10.5582084656,-71.7278594971
Bukhara Airport,Bukhara,BHK,6,39.775001525878906,64.48329925537111
Fergana International Airport,Fergana,FEG,7,40.3587989807,71.7450027466
Karshi Khanabad Airport,Khanabad,KSQ,5,38.833599090599996,65.9215011597
Namangan Airport,Namangan,NMA,12,40.9846000671,71.5567016602
Navoi Airport,Navoi,NVI,6,40.1171989440918,65.17079925537111
Samarkand Airport,Samarkand,SKD,8,39.70050048828125,66.98380279541016
Tivat Airport,Tivat,TIV,11,42.404701232910156,18.72330093383789
V.C. Bird International Airport,Antigua,ANU,35,17.1367,-61.792702
Cayenne-Rochambeau Airport,Cayenne,CAY,7,4.819809913639999,-52.360401153599994
Douglas-Charles Airport,Dominica,DOM,17,15.547,-61.299999
Martinique Aimé Césaire International Airport,Fort-de-france,FDF,23,14.590999603271484,-61.00320053100586
Pointe-à-Pitre Le Raizet,Pointe-a-pitre,PTP,29,16.265301,-61.531799
Gustaf III Airport,Gustavia,SBH,11,17.904399871826172,-62.84360122680664
